X1,Y1,X2,Y2,X3,Y3,X4,Y4,,,,,,X1_sn19
,,396861944.3,1.47E-06,1.72E+11,0.011635256,,,,,,,,
,,396861944.3,1.59E-06,1.72E+11,0.011635256,,,,,,,,
,,396861944.3,1.78E-06,1.72E+11,0.009628442,,,,,,,,
,,396861944.3,1.92E-06,1.79E+11,0.008926229,,,,,,,,
,,396861944.3,1.92E-06,1.79E+11,0.008926229,,,,,,,,
,,396861944.3,2.07E-06,1.79E+11,0.00827523,,,,,,,,
,,396861944.3,2.07E-06,1.79E+11,0.007967757,,,,,,,,
,,396861944.3,2.32E-06,1.79E+11,0.007671708,,,,,,,,
,,396861944.3,2.41E-06,1.79E+11,0.00738666,,,,,,,,
,,396861944.3,2.50E-06,1.79E+11,0.006348515,,,,,,,,
,,429193426,3.03E-06,1.79E+11,0.006112631,,,,,,,,
,,412711203.6,2.81E-06,1.86E+11,0.006112631,,,,,,,,
,,412711203.6,3.14E-06,1.86E+11,0.00566683,,,,,,,,
,,412711203.6,3.39E-06,1.86E+11,0.005253542,,,,,,,,
,,412711203.6,3.95E-06,1.93E+11,0.004515192,,,,,,,,
,,412711203.6,4.10E-06,1.93E+11,0.004347427,,,,,,,,
,,429193426,5.34E-06,1.93E+11,0.004030364,,,,,,,,
,,429193426,5.55E-06,1.93E+11,0.003880613,,,,,,,,
,,429193426,7.51E-06,1.93E+11,0.003880613,,,,,,,,
,,429193426,8.10E-06,2.09E+11,0.004347427,,,,,,,,
,,429193426,1.02E-05,2.09E+11,0.004515192,,,,,,,,
,,429193426,1.13901E-05,2.09E+11,0.004689432,,,,,,,,
,,429193426,1.27602E-05,2.26E+11,0.004870396,,,,,,,,
,,429193426,1.48468E-05,2.54E+11,0.004870396,,,,,,,,
,,429193426,1.54198E-05,,,,,,,,,,
,,429193426,1.93527E-05,,,,,,,,,,
,,429193426,2.42888E-05,,,,,,,,,,
,,429193426,2.61996E-05,,,,,,,,,,
,,429193426,3.04839E-05,,,,,,,,,,
,,429193426,3.68375E-05,,,,,,,,,,
,,429193426,4.12688E-05,,,,,,,,,,
,,429193426,4.45153E-05,,,,,,,,,,
,,429193426,4.62332E-05,,,,,,,,,,
,,412711203.6,0.000106346,,,,,,,,,,
,,381621340.8,0.000244618,,,,,,,,,,
,,212095088.8,0.00073344,,,,,,,,,,
,,212095088.8,0.018327524,,,,,,,,,,
,,0.000111588,3.39E-06,,,,,,,,,,
,,4941713.361,0.90538758,,,,,,,,,,
