X1,Y1,X2,Y2,X3,Y3,X4,Y4,,,,,,X1_sn19
0.000109614,1.81E-05,0.000147034,3.55E-06,1.06E+10,8.48E-01,1948.751146,0.883098571,,,,,,x2_rare
0.000112463,1.49E-08,0.000299974,3.55E-06,1.23E+10,4.57E-01,2291.581125,0.569468662,,,,,,
0.000251509,1.81E-05,0.000611999,3.55E-06,1.69E+10,3.53E-01,2875.183918,0.361514317,,,,,,
0.000268352,1.52E-08,0.001248583,3.55E-06,2.27E+10,2.45E-01,3492.370042,0.248202445,,,,,,
0.000611999,1.86E-05,0.002547325,3.55E-06,3.24E+10,1.76E-01,4242.041156,0.161734755,,,,,,
0.000627907,1.52E-08,0.005196982,3.55E-06,4.34E+10,1.13E-01,5152.636447,0.11104114,,,,,,
0.001248583,1.87E-05,0.010602742,3.55E-06,5.62E+10,7.98E-02,6258.699853,0.076236766,,,,,,
0.001332198,1.52E-08,0.021631425,3.55E-06,7.29E+10,6.00E-02,7602.190501,0.051797449,,,,,,
0.002547325,1.87E-05,0.044131846,3.55E-06,8.57E+10,3.97E-02,8939.590003,0.03786246,,,,,,
0.002717915,1.52E-08,0.090036591,3.55E-06,1.01E+11,2.60E-02,11585.73967,0.023848552,,,,,,
0.005196982,1.89E-05,0.183690203,3.55E-06,5.26E+11,3.29E-02,14536.30946,0.016076941,,,,,,
0.005545016,1.52E-08,0.374759756,3.55E-06,5.99E+11,2.12E-02,17656.66932,0.010809626,,,,,,
0.010602742,1.93E-05,0.764574661,3.55E-06,7.04E+11,1.32E-02,21446.8447,0.006615887,,,,,,
0.01131279,1.52E-08,1.559864427,3.55E-06,1.11E+12,7.24E-03,25219.83611,0.004495024,,,,,,
0.021631425,1.93E-05,3.182392974,3.55E-06,1.48E+12,1.19E-02,28710.80321,0.003234651,,,,,,
0.023080046,1.49E-08,6.492631581,3.55E-06,1.86E+12,1.80E-02,33761.69136,2.12E-03,,,,,,
0.044131846,1.92E-05,13.24609035,3.55E-06,1.92E+12,8.17E-01,41008.96598,1.31E-03,,,,,,
0.047087283,1.47E-08,27.02431322,3.55E-06,1.92E+12,5.61E-01,49811.9384,8.02E-04,,,,,,
0.090036591,1.87E-05,55.13426873,3.55E-06,1.90E+12,3.47E-01,60504.55428,4.76E-04,,,,,,
0.096066194,1.47E-08,112.4834354,3.55E-06,1.94E+12,7.39E-02,71148.69175,3.28E-04,,,,,,
0.183690203,1.87E-05,229.4856452,3.55E-06,1.92E+12,4.71E-02,80997.19912,2.04E-04,,,,,,
0.195991635,1.51E-08,468.190371,3.55E-06,1.92E+12,3.24E-02,108430.6189,1.04E-04,,,,,,
0.374759756,1.87E-05,936.7937147,3.53E-06,1.86E+12,2.60E-02,123439.7458,6.96E-05,,,,,,
0.399856803,1.52E-08,1948.751146,3.55E-06,1.99E+12,2.64E-01,149937.2849,4.93E-05,,,,,,
0.764574661,1.87E-05,3607.414318,3.56E-06,1.99E+12,1.81E-01,170691.8262,3.49292E-05,,,,,,
0.815776973,1.52E-08,8111.296734,3.52E-06,1.99E+12,1.25E-01,200720.4295,2.18293E-05,,,,,,
1.559864427,1.87E-05,16548.44696,3.55E-06,4864910220,9.40E-01,228504.4489,1.48E-05,,,,,,
1.66432599,1.52E-08,31642.63591,3.55E-06,5059197488,7.49E-01,326383.4558,6.84655E-06,,,,,,
3.182392974,1.87E-05,68879.68436,3.53E-06,6153407071,6.95E-01,383801.7843,4.42E-06,,,,,,
3.287226108,1.52E-08,140526.4584,3.55E-06,6399152336,8.08E-01,481545.5608,2.61878E-06,,,,,,
6.492631581,1.87E-05,286698.258,3.55E-06,6399152336,9.40E-01,584913.9875,1.64E-06,,,,,,
7.886337943,1.51E-08,584913.9875,3.55E-06,1.02E+10,7.21E-01,710471.45,9.91E-07,,,,,,
13.24609035,1.87E-05,1193325.607,3.55E-06,1.02E+10,5.53E-01,835459.6575,6.73E-07,,,,,,
15.0796338,1.52E-08,2434590.444,3.55E-06,1.07E+11,1.98E-02,951105.2216,4.60E-07,,,,,,
27.02431322,1.87E-05,4966985.201,3.55E-06,1.07E+11,1.52E-02,1082758.616,3.13E-07,,,,,,
35.02360373,1.51E-08,6033196.765,7.56E-01,1.07E+11,0.011635256,1232635.669,2.18E-07,,,,,,
55.13426873,1.87E-05,10133508.1,3.56E-06,1.07E+11,9.27E-03,1403258.925,1.50E-07,,,,,,
71.45420366,1.52E-08,12308763.93,3.93E-01,1.07E+11,0.007112202,1760630.444,1.07E-07,,,,,,
112.4834354,1.87E-05,20674107.58,3.34E-06,1.07E+11,5.89E-03,5130605.668,5.66E-08,,,,,,
136.6290961,1.52E-08,25112005.36,2.07E-01,1.03E+11,0.004870396,7569686.329,4.63E-08,,,,,,
229.4856452,1.87E-05,42178751.94,3.09E-06,1.03E+11,4.03E-03,11168301.53,4.09E-08,,,,,,
297.4141927,1.50E-08,52238874.42,1.06E-01,1.07E+11,0.002657421,16477691.89,3.19E-08,,,,,,
459.1737107,1.87E-05,83307654.5,2.62E-06,1.03E+11,3.34E-03,15914064.47,4.35E-05,,,,,,
606.776346,1.47E-08,103773712.1,0.055147811,1.31E+11,0.001624384,20674107.58,2.47446E-05,,,,,,
